"","AT","V","AP","RH","Output"
"117",13.55,43.48,1016.08,67.25,464.33
"118",22.99,46.21,1010.71,60.11,444.36
"119",23.94,59.39,1014.32,74.55,438.64
"120",13.74,34.03,1018.69,67.34,470.49
"121",21.3,41.1,1001.86,42.75,455.13
"122",27.54,66.93,1017.06,55.2,450.22
"123",24.81,63.73,1009.34,83.61,440.43
"124",4.97,42.85,1014.02,88.78,482.98
"125",15.22,50.88,1014.19,100.12,460.44
"126",23.88,54.2,1012.81,64.52,444.97
"127",33.01,68.67,1005.2,51.41,433.94
"128",25.98,73.18,1012.28,85.78,439.73
"129",28.18,73.88,1005.89,75.41,434.48
"130",21.67,60.84,1017.93,81.63,442.33
"131",17.67,45.09,1014.26,51.92,457.67
"132",21.37,57.76,1018.8,70.12,454.66
"133",28.69,67.25,1017.71,53.83,432.21
"134",16.61,43.77,1012.25,77.23,457.66
"135",27.91,63.76,1010.27,65.67,435.21
"136",20.97,47.43,1007.64,71.18,448.22
"137",10.8,41.66,1013.79,81.96,475.51
"138",20.61,62.91,1013.24,79.54,446.53
"139",25.45,57.32,1011.7,47.09,441.3
"140",30.16,69.34,1007.67,57.69,433.54
"141",4.99,39.04,1020.45,78.89,472.52
"142",10.51,44.78,1012.59,85.29,474.77
"143",33.79,69.05,1001.62,40.13,435.1
"144",21.34,59.8,1016.92,77.06,450.74
"145",23.4,65.06,1014.32,67.38,442.7
"146",32.21,68.14,1003.34,62.44,426.56
"147",14.26,42.32,1016,77.43,463.71
"148",27.71,66.93,1016.85,58.77,447.06
"149",21.95,57.76,1018.02,67.72,452.27
"150",25.76,63.94,1018.49,42.14,445.78
"151",23.68,68.3,1017.93,84.16,438.65
"152",8.28,40.77,1011.55,89.79,480.15
"153",23.44,62.52,1016.46,67.21,447.19
"154",25.32,48.41,1008.47,72.14,443.04
"155",3.94,39.9,1008.06,97.49,488.81
"156",17.3,57.76,1016.26,87.74,455.75
"157",18.2,49.39,1018.83,96.3,455.86
"158",21.43,46.97,1013.94,61.25,457.68
"159",11.16,40.05,1014.95,88.38,479.11
"160",30.38,74.16,1007.44,74.77,432.84
"161",23.36,62.52,1016.18,68.18,448.37
"162",21.69,47.45,1007.56,77.2,447.06
"163",23.62,49.21,1014.1,49.54,443.53
"164",21.87,61.45,1011.13,92.22,445.21
"165",29.25,66.51,1015.53,33.65,441.7
"166",20.03,66.86,1013.05,64.59,450.93
"167",18.14,49.78,1002.95,100.09,451.44
"168",24.23,56.89,1012.32,68.04,441.29
"169",18.11,44.85,1014.48,48.94,458.85
"170",6.57,43.65,1018.24,74.47,481.46
"171",12.56,43.41,1016.93,81.02,467.19
"172",13.4,41.58,1020.5,71.17,461.54
"173",27.1,52.84,1006.28,53.85,439.08
"174",14.28,42.74,1028.79,70.67,467.22
"175",16.29,44.34,1019.49,59.36,468.8
"176",31.24,71.98,1004.66,57.17,426.93
"177",10.57,37.73,1024.36,70.29,474.65
"178",13.8,44.21,1022.93,83.37,468.97
"179",25.3,71.58,1010.18,87.36,433.97
"180",18.06,50.16,1009.52,100.09,450.53
"181",25.42,59.04,1011.98,68.78,444.51
"182",15.07,40.69,1015.29,70.98,469.03
"183",11.75,71.14,1019.36,75.68,466.56
"184",20.23,52.05,1012.15,47.49,457.57
"185",27.31,59.54,1006.24,71.99,440.13
"186",28.57,69.84,1003.57,66.55,433.24
"187",17.9,43.72,1008.64,74.73,452.55
"188",23.83,71.37,1002.04,64.78,443.29
"189",27.92,74.99,1005.47,75.13,431.76
"190",17.34,44.78,1007.81,56.38,454.97
"191",17.94,63.07,1012.42,94.35,456.7
"192",6.4,39.9,1007.75,86.55,486.03
"193",11.78,39.96,1011.37,82.95,472.79
"194",20.28,57.25,1010.12,88.42,452.03
"195",21.04,54.2,1012.26,85.61,443.41
"196",25.11,67.32,1014.49,58.39,441.93
"197",30.28,70.98,1007.51,74.28,432.64
"198",8.14,36.24,1013.15,87.85,480.25
"199",16.86,39.63,1004.47,83.5,466.68
"200",6.25,40.07,1020.19,65.24,494.39
"201",22.35,54.42,1012.46,75.01,454.72
"202",17.98,56.85,1012.28,84.52,448.71
"203",21.19,42.48,1013.43,80.52,469.76
"204",20.94,44.89,1009.64,75.14,450.71
"205",24.23,58.79,1009.8,75.75,444.01
"206",19.18,58.2,1017.46,76.72,453.2
"207",20.88,57.85,1012.39,85.47,450.87
"208",23.67,63.86,1019.67,57.95,441.73
"209",14.12,39.52,1018.41,78.32,465.09
"210",25.23,64.63,1020.59,52.2,447.28
"211",6.54,39.33,1011.54,93.69,491.16
"212",20.08,62.52,1017.99,75.74,450.98
"213",24.67,63.56,1013.75,67.56,446.3
"214",27.82,79.74,1008.37,69.46,436.48
"215",15.55,42.03,1017.41,74.58,460.84
"216",24.26,69.51,1013.43,53.23,442.56
"217",13.45,41.49,1020.19,88.72,467.3
"218",11.06,40.64,1021.47,96.16,479.13
"219",24.91,52.3,1008.72,68.26,441.15
"220",22.39,59.04,1011.78,86.39,445.52
"221",11.95,40.69,1015.62,85.34,475.4
"222",14.85,40.69,1014.91,72.64,469.3
"223",10.11,41.62,1017.17,97.82,463.57
"224",23.67,68.67,1006.71,77.22,445.32
"225",16.14,44.21,1020.36,80.59,461.03
"226",15.11,43.13,1014.99,46.91,466.74
"227",24.14,59.87,1018.47,57.76,444.04
"228",30.08,67.25,1017.6,53.09,434.01
"229",14.77,44.9,1020.5,84.31,465.23
"230",27.6,69.34,1009.63,71.58,440.6
"231",13.89,44.84,1023.66,92.97,466.74
"232",26.85,75.6,1017.43,74.55,433.48
"233",12.41,40.96,1023.36,78.96,473.59
"234",13.08,41.74,1020.75,64.44,474.81
"235",18.93,44.06,1017.58,68.23,454.75
"236",20.5,49.69,1009.6,70.81,452.94
"237",30.72,69.13,1009.94,61.66,435.83
"238",7.55,39.22,1014.53,77.76,482.19
"239",13.49,44.47,1030.46,69.49,466.66
"240",15.62,40.12,1013.03,96.26,462.59
"241",24.8,64.63,1020.69,55.74,447.82
"242",10.03,41.62,1014.55,95.61,462.73
"243",22.43,63.21,1012.06,84.75,447.98
"244",14.95,39.31,1009.15,75.3,462.72
"245",24.78,58.46,1016.82,67.5,442.42
"246",23.2,48.41,1008.64,80.92,444.69
"247",14.01,39,1016.73,79.23,466.7
"248",19.4,64.63,1020.38,81.1,453.84
"249",30.15,67.32,1013.83,32.8,436.92
"250",6.91,36.08,1021.82,84.31,486.37
"251",29.04,60.07,1015.42,46.15,440.43
"252",26.02,63.07,1010.94,53.96,446.82
"253",5.89,39.48,1005.11,59.83,484.91
"254",26.52,71.64,1008.27,75.3,437.76
"255",28.53,68.08,1013.27,42.53,438.91
"256",16.59,39.54,1007.97,70.58,464.19
"257",22.95,67.79,1009.89,91.69,442.19
"258",23.96,47.43,1008.38,63.55,446.86
"259",17.48,44.2,1018.89,61.51,457.15
"260",6.69,43.65,1020.14,69.55,482.57
"261",10.25,41.26,1007.44,98.08,476.03
"262",28.87,72.58,1008.69,79.34,428.89
"263",12.04,40.23,1018.07,81.28,472.7
"264",22.58,52.3,1009.04,78.99,445.6
"265",15.12,52.05,1014.63,80.38,464.78
"266",25.48,58.95,1017.02,51.16,440.42
"267",27.87,70.79,1003.96,72.17,428.41
"268",23.72,70.47,1010.65,75.39,438.5
"269",25,59.43,1007.84,68.91,438.28
"270",8.42,40.64,1022.35,96.38,476.29
"271",22.46,58.49,1011.5,70.54,448.46
"272",29.92,57.19,1008.62,45.8,438.99
"273",11.68,39.22,1017.9,57.95,471.8
"274",14.04,42.44,1012.74,81.89,471.81
"275",19.86,59.14,1016.12,69.32,449.82
"276",25.99,68.08,1013.13,59.14,442.14
"277",23.42,58.79,1009.74,81.54,441.46
"278",10.6,40.22,1011.37,85.81,477.62
"279",20.97,61.87,1011.45,65.41,446.76
"280",14.14,39.82,1012.46,81.15,472.52
"281",8.56,40.71,1021.27,95.87,471.58
"282",24.86,72.39,1001.15,90.24,440.85
"283",29,77.54,1011.33,75.13,431.37
"284",27.59,71.97,1008.64,88.22,437.33
"285",10.45,40.71,1015.68,81.48,469.22
"286",8.51,40.78,1023.51,89.84,471.11
"287",29.82,66.51,1010.98,43.57,439.17
"288",22.56,62.26,1012.11,63.16,445.33
"289",11.38,39.22,1018.62,57.14,473.71
"290",20.25,57.76,1016.28,77.76,452.66
"291",22.42,59.43,1007.12,90.56,440.99
"292",14.85,38.91,1014.48,60.98,467.42
"293",25.62,58.82,1010.02,70.31,444.14
"294",19.85,56.53,1020.57,74.05,457.17
"295",13.67,54.3,1015.92,75.42,467.87
"296",24.39,70.72,1009.78,82.25,442.04
"297",16.07,44.58,1019.52,67.95,471.36
"298",11.6,39.1,1009.81,100.09,460.7
"299",31.38,70.83,1010.35,47.28,431.33
"300",29.91,76.86,998.59,72.41,432.6
"301",19.67,59.39,1014.07,77.67,447.61
"302",27.18,64.79,1016.27,63.7,443.87
"303",21.39,52.3,1009.2,79.77,446.87
"304",10.45,41.01,1020.57,93.84,465.74
"305",19.46,56.89,1014.02,84.95,447.86
"306",23.55,62.96,1020.16,70.16,447.65
"307",23.35,63.47,1011.78,84.24,437.87
"308",9.26,41.66,1016.87,73.32,483.51
"309",10.3,41.46,1018.21,86.17,479.65
"310",20.94,58.16,1016.88,65.43,455.16
"311",23.13,71.25,1002.49,94.59,431.91
"312",12.77,41.5,1014.13,86.8,470.68
"313",28.29,69.13,1009.29,58.18,429.28
"314",19.13,59.21,1018.32,89.66,450.81
"315",24.44,73.5,1011.49,87.39,437.73
"316",20.32,44.6,1015.16,36.35,460.21
"317",20.54,69.05,1001.6,79.62,442.86
"318",12.16,45,1021.51,50.52,482.99
"319",28.09,65.27,1013.27,51.96,440
"320",9.25,41.82,1033.25,74.73,478.48
"321",21.75,49.82,1015.01,78.33,455.28
"322",23.7,66.56,1002.07,85.19,436.94
"323",16.22,37.87,1022.36,83.13,461.06
"324",24.75,69.45,1013.97,53.49,438.28
"325",10.48,39.58,1011.81,88.86,472.61
"326",29.53,70.79,1003.7,60.89,426.85
"327",12.59,39.72,1017.76,61.14,470.18
"328",23.5,54.42,1012.31,68.29,455.38
"329",29.01,66.56,1006.44,57.62,428.32
"330",9.75,42.49,1010.57,83.63,480.35
"331",19.55,56.53,1020.2,78.1,455.56
"332",21.05,58.33,1013.14,66.34,447.66
"333",24.72,68.67,1006.74,79.02,443.06
"334",21.19,58.86,1014.19,68.96,452.43
"335",10.77,41.54,1019.94,71.13,477.81
"336",28.68,73.77,1004.72,87.01,431.66
"337",29.87,73.91,1004.53,74.3,431.8
"338",22.99,68.67,1006.65,77.62,446.67
"339",24.66,60.29,1018,59.56,445.26
"340",32.63,69.89,1013.85,41.66,425.72
"341",31.38,72.29,1008.73,73.27,430.58
"342",23.87,60.27,1018.94,77.16,439.86
"343",25.6,59.15,1013.31,67.02,441.11
"344",27.62,71.14,1011.6,52.8,434.72
"345",30.1,67.45,1014.23,39.04,434.01
"346",12.19,41.17,1019.43,65.47,475.64
"347",13.11,41.58,1020.43,74.32,460.44
"348",28.29,68.67,1005.46,69.22,436.4
"349",13.45,40.73,1018.7,93.88,461.03
"350",10.98,41.54,1019.94,69.83,479.08
"351",26.48,69.14,1009.31,84.11,435.76
"352",13.07,45.51,1015.22,78.65,460.14
"353",25.56,75.6,1017.37,69.31,442.2
"354",22.68,50.78,1008.83,70.3,447.69
"355",28.86,73.67,1006.65,68.23,431.15
"356",22.7,63.56,1014.32,71.76,445
"357",27.89,73.21,1001.32,85.88,431.59
"358",13.78,44.47,1027.94,71.09,467.22
"359",28.14,51.43,1012.16,52.67,445.33
"360",11.8,45.09,1013.21,89.68,470.57
"361",10.71,39.61,1018.72,73.66,473.77
"362",24.54,60.29,1017.42,58.94,447.67
"363",11.54,40.05,1014.78,87.05,474.29
"364",29.47,71.32,1008.07,67,437.14
"365",29.24,69.05,1003.12,43.18,432.56
"366",14.51,41.79,1009.72,80.62,459.14
"367",22.91,60.07,1016.03,59.72,446.19
"368",27.02,71.77,1006.38,72.1,428.1
"369",13.49,44.47,1030.18,69.15,468.46
"370",30.24,66.75,1017.95,55.66,435.02
"371",23.19,48.6,1002.38,61.19,445.52
"372",17.73,40.55,1003.36,74.62,462.69
"373",18.62,61.27,1019.26,73.35,455.75
"374",12.85,40,1015.89,68.85,463.74
"375",32.33,69.68,1011.95,39.89,439.79
"376",25.09,58.95,1016.99,53.16,443.26
"377",29.45,69.13,1009.3,52.97,432.04
"378",16.91,43.96,1013.32,79.87,465.86
"379",14.09,45.87,1009.05,84.09,465.6
"380",10.73,25.36,1009.35,100.15,469.43
"381",23.2,49.3,1003.4,79.77,440.75
"382",8.21,38.91,1015.82,88.99,481.32
"383",9.3,40.56,1022.64,76.14,479.87
"384",16.97,39.16,1005.7,69.13,458.59
"385",23.69,71.97,1009.62,93.03,438.62
"386",25.13,59.44,1012.38,77.92,445.59
"387",9.86,43.56,1015.13,74.89,481.87
"388",11.33,41.5,1013.58,88.7,475.01
"389",26.95,48.41,1008.53,62.94,436.54
"390",15,40.66,1016.28,89.62,456.63
"391",20.76,62.52,1015.63,81.04,451.69
"392",14.29,39.59,1010.93,94.53,463.04
"393",19.74,67.71,1007.68,64.02,446.1
"394",26.68,59.92,1009.94,70.57,438.67
"395",14.24,41.4,1019.7,70.32,466.88
"396",21.98,48.41,1008.42,84.86,444.6
"397",22.75,59.39,1015.4,81.41,440.26
"398",8.34,40.96,1023.28,89.45,483.92
"399",11.8,41.2,1017.18,82.71,475.19
"400",8.81,44.68,1023.06,93.93,479.24
"401",30.05,73.68,1014.95,70.6,434.92
"402",16.01,65.46,1014,87.68,454.16
"403",21.75,58.79,1012.42,87.58,447.58
"404",13.94,41.26,1021.67,74.4,467.9
"405",29.25,69.13,1010.27,67.35,426.29
"406",22.33,45.87,1007.8,63.61,447.02
"407",16.43,41.79,1005.47,76.89,455.85
"408",11.5,40.22,1010.31,78.08,476.46
"409",23.53,68.94,1007.53,69.17,437.48
"410",21.86,49.21,1014.61,53.31,452.77
"411",6.17,39.33,1012.57,93.32,491.54
"412",30.19,64.79,1017.22,42.47,438.41
"413",11.67,41.93,1019.81,82.58,476.1
"414",15.34,36.99,1007.87,94.59,464.58
"415",11.5,40.78,1023.91,86.31,467.74
"416",25.53,57.17,1010,72.57,442.12
"417",21.27,57.5,1014.53,80.76,453.34
"418",28.37,69.13,1010.44,71.93,425.29
"419",28.39,51.43,1011.74,47.54,449.63
"420",13.78,45.78,1025.27,95.72,462.88
"421",14.6,42.32,1015.71,77.03,464.67
"422",5.1,35.57,1027.17,80.49,489.96
"423",7,38.08,1020.27,77.67,482.38
"424",26.3,77.95,1009.45,78.72,437.95
"425",30.56,71.98,1004.74,58.77,429.2
"426",21.09,46.63,1013.03,74.8,453.34
"427",28.21,70.02,1010.58,51.34,442.47
"428",15.84,49.69,1015.14,90.41,462.6
"429",10.03,40.96,1024.57,91.1,478.79
"430",20.37,52.05,1012.34,62.57,456.11
"431",21.19,50.16,1005.81,84.27,450.33
"432",33.73,69.88,1007.21,42.93,434.83
"433",29.87,73.68,1015.1,40.96,433.43
"434",19.62,62.96,1020.76,76.53,456.02
"435",9.93,40.67,1018.08,69.74,485.23
"436",9.43,37.14,1013.03,74.99,473.57
"437",14.24,39.58,1011.17,70.45,469.94
"438",12.97,49.83,1008.69,91.49,452.07
"439",7.6,41.04,1021.82,88.97,475.32
"440",8.39,36.24,1013.39,89.13,480.69
"441",25.41,48.06,1013.12,46.52,444.01
"442",18.43,56.03,1020.41,60.55,465.17
"443",10.31,39.82,1012.87,88.71,480.61
"444",11.29,41.5,1013.39,89.15,476.04
"445",22.61,49.3,1003.51,83.02,441.76
"446",29.34,71.98,1005.19,75.19,428.24
"447",18.87,67.71,1004,87.35,444.77
"448",13.21,45.87,1008.58,85.66,463.1
"449",11.3,44.6,1018.19,91.66,470.5
"450",29.23,72.99,1007.04,63.47,431
"451",27.76,69.4,1004.27,72.25,430.68
"452",29.26,67.17,1006.6,70.58,436.42
"453",25.72,49.82,1016.19,60.1,452.33
"454",23.43,63.94,1010.64,89.29,440.16
"455",25.6,63.76,1010.18,67.43,435.75
"456",22.3,44.57,1008.48,67.58,449.74
"457",27.91,72.24,1010.74,70.8,430.73
"458",30.35,77.17,1009.55,63.62,432.75
"459",21.78,47.43,1007.88,66.68,446.79
"460",7.19,41.39,1018.12,90.76,486.35
"461",20.88,59.8,1015.66,75.34,453.18
"462",24.19,50.23,1015.73,59.77,458.31
"463",9.98,41.54,1019.7,80.79,480.26
"464",23.47,51.3,1011.89,74.1,448.65
"465",26.35,49.5,1012.67,41.34,458.41
"466",29.89,64.69,1006.37,58.78,435.39
"467",19.29,50.16,1010.49,97.78,450.21
"468",17.48,43.14,1018.68,74.85,459.59
"469",25.21,75.6,1017.19,69.84,445.84
"470",23.3,48.78,1018.17,75.36,441.08
"471",15.42,37.85,1009.89,85.8,467.33
"472",21.44,63.09,1016.56,90.11,444.19
"473",29.45,68.27,1007.96,61.63,432.96
"474",29.69,47.93,1002.85,44.76,438.09
"475",15.52,36.99,1006.86,89.7,467.9
"476",11.47,43.67,1012.68,72.51,475.72
"477",9.77,34.69,1027.72,74.98,477.51
"478",22.6,69.84,1006.37,79.59,435.13
"479",8.24,39.61,1017.99,78.42,477.9
"480",17.01,44.2,1019.18,61.23,457.26
"481",19.64,44.6,1015.88,47.56,467.53
"482",10.61,41.58,1021.08,93.06,465.15
"483",12.04,40.1,1014.42,89.65,474.28
"484",29.19,65.71,1013.85,50.5,444.49
"485",21.75,45.09,1014.15,44.84,452.84
"486",23.66,77.54,1008.5,85.32,435.38
"487",27.05,75.33,1003.88,82.94,433.57
"488",29.63,69.71,1009.04,67.26,435.27
"489",18.2,39.63,1005.35,79.05,468.49
"490",32.22,70.8,1009.9,62.03,433.07
"491",26.88,73.56,1004.85,94.36,430.63
"492",29.05,65.74,1013.29,60.02,440.74
"493",8.9,39.96,1026.31,95.46,474.49
"494",18.93,48.6,1005.72,84.92,449.74
"495",27.49,63.76,1010.09,62.8,436.73
"496",23.1,70.79,1006.53,90.81,434.58
"497",11.22,43.13,1017.24,80.9,473.93
"498",31.97,79.74,1007.03,55.84,435.99
"499",13.32,43.22,1009.45,75.3,466.83
"500",31.68,68.24,1005.29,37.34,427.22
"501",23.69,63.77,1013.39,79.5,444.07
"502",13.83,41.49,1020.11,87.29,469.57
"503",18.32,66.51,1015.18,81.5,459.89
"504",11.05,40.71,1024.91,76.42,479.59
"505",22.03,64.69,1007.21,75.75,440.92
"506",10.23,41.46,1020.45,84.95,480.87
"507",23.92,66.54,1009.93,62.37,441.9
"508",29.38,69.68,1011.35,49.25,430.2
"509",17.35,42.86,1014.62,74.16,465.16
"510",9.81,44.45,1021.19,90.55,471.32
"511",4.97,40.64,1020.91,94.28,485.43
"512",5.15,40.07,1012.27,63.31,495.35
"513",21.54,58.49,1010.85,78.9,449.12
"514",7.94,42.02,1006.22,90.97,480.53
"515",18.77,50.66,1014.89,87.34,457.07
"516",21.69,69.94,1010.7,80.8,443.67
"517",10.07,44.68,1023.44,90.95,477.52
"518",13.83,39.64,1012.52,69.97,472.95
"519",10.45,39.69,1003.92,89.45,472.54
"520",11.56,40.71,1015.85,76.08,469.17
"521",23.64,70.04,1011.09,83.35,435.21
"522",10.48,40.22,1004.81,92.16,477.78
"523",13.09,39.85,1012.86,58.42,475.89
"524",10.67,40.23,1017.75,85.06,483.9
"525",12.57,39.16,1016.53,88.91,476.2
"526",14.45,43.34,1015.47,83.33,462.16
"527",14.22,37.85,1011.24,88.49,471.05
"528",6.97,41.26,1010.6,96.88,484.71
"529",20.61,63.86,1015.43,73.86,446.34
"530",14.67,42.28,1007.21,65.17,469.02
"531",29.06,72.86,1004.23,69.41,432.12
"532",14.38,40.1,1015.51,81.23,467.28
"533",32.51,69.98,1013.29,54.07,429.66
"534",11.79,45.09,1013.16,89.17,469.49
"535",8.65,40.56,1023.23,78.85,485.87
"536",9.75,40.81,1026,84.44,481.95
"537",9.11,40.02,1031.1,83.02,479.03
"538",23.39,69.13,1010.99,90.66,434.5
"539",14.3,54.3,1015.16,75.29,464.9
"540",17.49,63.94,1020.02,82.6,452.71
"541",31.1,69.51,1010.84,45.4,429.74
"542",19.77,56.65,1020.67,66.33,457.09
"543",28.61,72.29,1011.61,45.33,446.77
"544",13.52,41.48,1014.46,67.12,460.76
"545",13.52,40.83,1008.31,84.14,471.95
"546",17.57,46.21,1014.09,80.81,453.29
"547",28.18,60.07,1016.34,49.13,441.61
"548",14.29,46.18,1017.01,87.29,464.73
"549",18.12,43.69,1016.91,52.95,464.68
"550",31.27,73.91,1003.72,68.92,430.59
"551",26.24,77.95,1014.19,85.21,438.01
"552",7.44,41.04,1021.84,88.56,479.08
"553",29.78,74.78,1009.28,55.09,436.39
"554",23.37,65.46,1016.25,48.64,447.07
"555",10.62,39.58,1011.9,87.85,479.91
"556",5.84,43.02,1013.88,87.42,489.05
"557",14.51,53.82,1016.46,62.75,463.17
"558",11.31,42.02,1001.18,94.86,471.26
"559",11.25,40.67,1011.64,63.54,480.49
"560",9.18,39.42,1025.41,69.46,473.78
"561",19.82,58.16,1016.76,74.66,455.5
"562",24.77,58.41,1013.78,80.57,446.27
"563",9.66,41.06,1021.21,84.7,482.2
"564",21.96,59.8,1016.72,72.6,452.48
"565",18.59,43.14,1011.92,52.63,464.48
"566",24.75,69.89,1015.29,82.01,438.1
"567",24.37,63.47,1012.77,75.22,445.6
"568",29.6,67.79,1010.37,51.05,442.43
"569",25.32,61.25,1011.56,80.1,436.67
"570",16.15,41.85,1016.54,81.58,466.56
"571",15.74,71.14,1019.65,65.94,457.29
"572",5.97,36.25,1029.65,86.74,487.03
"573",15.84,52.72,1026.45,62.57,464.93
"574",14.84,44.63,1019.28,57.37,466
"575",12.25,48.79,1017.44,88.91,469.52
"576",27.38,70.04,1011.18,72.26,428.88
"577",8.76,41.48,1018.49,74.98,474.3
"578",15.54,39.31,1009.69,71.19,461.06
"579",18.71,39.39,1014.09,62.82,465.57
"580",13.06,41.78,1012.3,55.31,467.67
"581",12.72,40.71,1016.02,71.57,466.99
"582",19.83,39.39,1013.73,59.16,463.72
"583",27.23,49.16,1004.03,40.8,443.78
"584",24.27,68.28,1005.43,67.63,445.23
