"","V1","V2","V3","V4","V5","Output"
"77",8000,1.5,0.3048,71.3,0.00336729,115.372
"78",10000,1.5,0.3048,71.3,0.00336729,113.492
"79",12500,1.5,0.3048,71.3,0.00336729,109.222
"80",16000,1.5,0.3048,71.3,0.00336729,106.582
"81",315,1.5,0.3048,39.6,0.00392107,121.851
"82",400,1.5,0.3048,39.6,0.00392107,124.001
"83",500,1.5,0.3048,39.6,0.00392107,126.661
"84",630,1.5,0.3048,39.6,0.00392107,128.311
"85",800,1.5,0.3048,39.6,0.00392107,128.831
"86",1000,1.5,0.3048,39.6,0.00392107,127.581
"87",1250,1.5,0.3048,39.6,0.00392107,125.211
"88",1600,1.5,0.3048,39.6,0.00392107,122.211
"89",2000,1.5,0.3048,39.6,0.00392107,122.101
"90",2500,1.5,0.3048,39.6,0.00392107,120.981
"91",3150,1.5,0.3048,39.6,0.00392107,119.111
"92",4000,1.5,0.3048,39.6,0.00392107,117.741
"93",5000,1.5,0.3048,39.6,0.00392107,116.241
"94",6300,1.5,0.3048,39.6,0.00392107,114.751
"95",8000,1.5,0.3048,39.6,0.00392107,112.251
"96",10000,1.5,0.3048,39.6,0.00392107,108.991
"97",12500,1.5,0.3048,39.6,0.00392107,106.111
"98",400,3,0.3048,71.3,0.00425727,127.564
"99",500,3,0.3048,71.3,0.00425727,128.454
"100",630,3,0.3048,71.3,0.00425727,129.354
"101",800,3,0.3048,71.3,0.00425727,129.494
"102",1000,3,0.3048,71.3,0.00425727,129.004
"103",1250,3,0.3048,71.3,0.00425727,127.634
"104",1600,3,0.3048,71.3,0.00425727,126.514
"105",2000,3,0.3048,71.3,0.00425727,125.524
"106",2500,3,0.3048,71.3,0.00425727,124.024
"107",3150,3,0.3048,71.3,0.00425727,121.514
"108",4000,3,0.3048,71.3,0.00425727,120.264
"109",5000,3,0.3048,71.3,0.00425727,118.134
"110",6300,3,0.3048,71.3,0.00425727,116.134
"111",8000,3,0.3048,71.3,0.00425727,114.634
"112",10000,3,0.3048,71.3,0.00425727,110.224
"113",400,3,0.3048,55.5,0.00452492,126.159
"114",500,3,0.3048,55.5,0.00452492,128.179
"115",630,3,0.3048,55.5,0.00452492,129.569
"116",800,3,0.3048,55.5,0.00452492,129.949
"117",1000,3,0.3048,55.5,0.00452492,129.329
"118",1250,3,0.3048,55.5,0.00452492,127.329
"119",1600,3,0.3048,55.5,0.00452492,124.439
"120",2000,3,0.3048,55.5,0.00452492,123.069
"121",2500,3,0.3048,55.5,0.00452492,122.439
"122",3150,3,0.3048,55.5,0.00452492,120.189
"123",4000,3,0.3048,55.5,0.00452492,118.689
"124",5000,3,0.3048,55.5,0.00452492,117.309
"125",6300,3,0.3048,55.5,0.00452492,115.679
"126",8000,3,0.3048,55.5,0.00452492,113.799
"127",10000,3,0.3048,55.5,0.00452492,112.169
"128",315,3,0.3048,39.6,0.00495741,123.312
"129",400,3,0.3048,39.6,0.00495741,125.472
"130",500,3,0.3048,39.6,0.00495741,127.632
"131",630,3,0.3048,39.6,0.00495741,129.292
"132",800,3,0.3048,39.6,0.00495741,129.552
"133",1000,3,0.3048,39.6,0.00495741,128.312
"134",1250,3,0.3048,39.6,0.00495741,125.802
"135",1600,3,0.3048,39.6,0.00495741,122.782
"136",2000,3,0.3048,39.6,0.00495741,120.532
"137",2500,3,0.3048,39.6,0.00495741,120.162
"138",3150,3,0.3048,39.6,0.00495741,118.922
"139",4000,3,0.3048,39.6,0.00495741,116.792
"140",5000,3,0.3048,39.6,0.00495741,115.792
"141",6300,3,0.3048,39.6,0.00495741,114.042
"142",8000,3,0.3048,39.6,0.00495741,110.652
"143",315,3,0.3048,31.7,0.00529514,123.118
"144",400,3,0.3048,31.7,0.00529514,125.398
"145",500,3,0.3048,31.7,0.00529514,127.548
"146",630,3,0.3048,31.7,0.00529514,128.698
"147",800,3,0.3048,31.7,0.00529514,128.708
"148",1000,3,0.3048,31.7,0.00529514,126.838
"149",1250,3,0.3048,31.7,0.00529514,124.838
"150",1600,3,0.3048,31.7,0.00529514,122.088
"151",2000,3,0.3048,31.7,0.00529514,120.088
"152",2500,3,0.3048,31.7,0.00529514,119.598
"153",3150,3,0.3048,31.7,0.00529514,118.108
"154",4000,3,0.3048,31.7,0.00529514,115.608
"155",5000,3,0.3048,31.7,0.00529514,113.858
"156",6300,3,0.3048,31.7,0.00529514,109.718
"157",250,4,0.3048,71.3,0.00497773,126.395
"158",315,4,0.3048,71.3,0.00497773,128.175
"159",400,4,0.3048,71.3,0.00497773,129.575
"160",500,4,0.3048,71.3,0.00497773,130.715
"161",630,4,0.3048,71.3,0.00497773,131.615
"162",800,4,0.3048,71.3,0.00497773,131.755
"163",1000,4,0.3048,71.3,0.00497773,131.015
"164",1250,4,0.3048,71.3,0.00497773,129.395
"165",1600,4,0.3048,71.3,0.00497773,126.645
"166",2000,4,0.3048,71.3,0.00497773,124.395
"167",2500,4,0.3048,71.3,0.00497773,123.775
"168",3150,4,0.3048,71.3,0.00497773,121.775
"169",4000,4,0.3048,71.3,0.00497773,119.535
"170",5000,4,0.3048,71.3,0.00497773,117.785
"171",6300,4,0.3048,71.3,0.00497773,116.165
"172",8000,4,0.3048,71.3,0.00497773,113.665
"173",10000,4,0.3048,71.3,0.00497773,110.905
"174",12500,4,0.3048,71.3,0.00497773,107.405
"175",250,4,0.3048,39.6,0.00579636,123.543
"176",315,4,0.3048,39.6,0.00579636,126.843
"177",400,4,0.3048,39.6,0.00579636,128.633
"178",500,4,0.3048,39.6,0.00579636,130.173
"179",630,4,0.3048,39.6,0.00579636,131.073
"180",800,4,0.3048,39.6,0.00579636,130.723
"181",1000,4,0.3048,39.6,0.00579636,128.723
"182",1250,4,0.3048,39.6,0.00579636,126.343
"183",1600,4,0.3048,39.6,0.00579636,123.213
"184",2000,4,0.3048,39.6,0.00579636,120.963
"185",2500,4,0.3048,39.6,0.00579636,120.233
"186",3150,4,0.3048,39.6,0.00579636,118.743
"187",4000,4,0.3048,39.6,0.00579636,115.863
"188",5000,4,0.3048,39.6,0.00579636,113.733
"189",1250,0,0.2286,71.3,0.00214345,128.144
"190",1600,0,0.2286,71.3,0.00214345,129.134
"191",2000,0,0.2286,71.3,0.00214345,128.244
"192",2500,0,0.2286,71.3,0.00214345,128.354
"193",3150,0,0.2286,71.3,0.00214345,127.834
"194",4000,0,0.2286,71.3,0.00214345,125.824
"195",5000,0,0.2286,71.3,0.00214345,124.304
"196",6300,0,0.2286,71.3,0.00214345,122.044
"197",8000,0,0.2286,71.3,0.00214345,118.024
"198",10000,0,0.2286,71.3,0.00214345,118.134
"199",12500,0,0.2286,71.3,0.00214345,117.624
"200",16000,0,0.2286,71.3,0.00214345,114.984
"201",20000,0,0.2286,71.3,0.00214345,114.474
"202",315,0,0.2286,55.5,0.00229336,119.54
"203",400,0,0.2286,55.5,0.00229336,121.66
"204",500,0,0.2286,55.5,0.00229336,123.78
"205",630,0,0.2286,55.5,0.00229336,126.16
"206",800,0,0.2286,55.5,0.00229336,127.53
"207",1000,0,0.2286,55.5,0.00229336,128.29
"208",1250,0,0.2286,55.5,0.00229336,127.91
"209",1600,0,0.2286,55.5,0.00229336,126.79
"210",2000,0,0.2286,55.5,0.00229336,126.54
"211",2500,0,0.2286,55.5,0.00229336,126.54
"212",3150,0,0.2286,55.5,0.00229336,125.16
"213",4000,0,0.2286,55.5,0.00229336,123.41
"214",5000,0,0.2286,55.5,0.00229336,122.41
"215",6300,0,0.2286,55.5,0.00229336,118.41
"216",315,0,0.2286,39.6,0.00253511,121.055
"217",400,0,0.2286,39.6,0.00253511,123.565
"218",500,0,0.2286,39.6,0.00253511,126.195
"219",630,0,0.2286,39.6,0.00253511,128.705
"220",800,0,0.2286,39.6,0.00253511,130.205
"221",1000,0,0.2286,39.6,0.00253511,130.435
"222",1250,0,0.2286,39.6,0.00253511,129.395
"223",1600,0,0.2286,39.6,0.00253511,127.095
"224",2000,0,0.2286,39.6,0.00253511,125.305
"225",2500,0,0.2286,39.6,0.00253511,125.025
"226",3150,0,0.2286,39.6,0.00253511,124.625
"227",4000,0,0.2286,39.6,0.00253511,123.465
"228",5000,0,0.2286,39.6,0.00253511,122.175
"229",6300,0,0.2286,39.6,0.00253511,117.465
"230",315,0,0.2286,31.7,0.0027238,120.595
"231",400,0,0.2286,31.7,0.0027238,123.635
"232",500,0,0.2286,31.7,0.0027238,126.675
"233",630,0,0.2286,31.7,0.0027238,129.465
"234",800,0,0.2286,31.7,0.0027238,130.725
"235",1000,0,0.2286,31.7,0.0027238,130.595
"236",1250,0,0.2286,31.7,0.0027238,128.805
"237",1600,0,0.2286,31.7,0.0027238,125.625
"238",2000,0,0.2286,31.7,0.0027238,123.455
"239",2500,0,0.2286,31.7,0.0027238,123.445
"240",3150,0,0.2286,31.7,0.0027238,123.445
"241",4000,0,0.2286,31.7,0.0027238,122.035
"242",5000,0,0.2286,31.7,0.0027238,120.505
"243",6300,0,0.2286,31.7,0.0027238,116.815
"244",400,2,0.2286,71.3,0.00293031,125.116
"245",500,2,0.2286,71.3,0.00293031,126.486
"246",630,2,0.2286,71.3,0.00293031,127.356
"247",800,2,0.2286,71.3,0.00293031,128.216
"248",1000,2,0.2286,71.3,0.00293031,128.956
"249",1250,2,0.2286,71.3,0.00293031,128.816
"250",1600,2,0.2286,71.3,0.00293031,127.796
"251",2000,2,0.2286,71.3,0.00293031,126.896
"252",2500,2,0.2286,71.3,0.00293031,127.006
"253",3150,2,0.2286,71.3,0.00293031,126.116
"254",4000,2,0.2286,71.3,0.00293031,124.086
"255",5000,2,0.2286,71.3,0.00293031,122.816
"256",6300,2,0.2286,71.3,0.00293031,120.786
"257",8000,2,0.2286,71.3,0.00293031,115.996
"258",10000,2,0.2286,71.3,0.00293031,113.086
"259",400,2,0.2286,55.5,0.00313525,122.292
"260",500,2,0.2286,55.5,0.00313525,124.692
"261",630,2,0.2286,55.5,0.00313525,126.842
"262",800,2,0.2286,55.5,0.00313525,128.492
"263",1000,2,0.2286,55.5,0.00313525,129.002
"264",1250,2,0.2286,55.5,0.00313525,128.762
"265",1600,2,0.2286,55.5,0.00313525,126.752
"266",2000,2,0.2286,55.5,0.00313525,124.612
"267",2500,2,0.2286,55.5,0.00313525,123.862
"268",3150,2,0.2286,55.5,0.00313525,123.742
"269",4000,2,0.2286,55.5,0.00313525,122.232
"270",5000,2,0.2286,55.5,0.00313525,120.472
"271",6300,2,0.2286,55.5,0.00313525,118.712
"272",315,2,0.2286,39.6,0.00346574,120.137
"273",400,2,0.2286,39.6,0.00346574,122.147
"274",500,2,0.2286,39.6,0.00346574,125.157
"275",630,2,0.2286,39.6,0.00346574,127.417
"276",800,2,0.2286,39.6,0.00346574,129.037
"277",1000,2,0.2286,39.6,0.00346574,129.147
"278",1250,2,0.2286,39.6,0.00346574,128.257
"279",1600,2,0.2286,39.6,0.00346574,125.837
"280",2000,2,0.2286,39.6,0.00346574,122.797
"281",2500,2,0.2286,39.6,0.00346574,121.397
"282",3150,2,0.2286,39.6,0.00346574,121.627
"283",4000,2,0.2286,39.6,0.00346574,120.227
"284",5000,2,0.2286,39.6,0.00346574,118.827
"285",6300,2,0.2286,39.6,0.00346574,116.417
"286",315,2,0.2286,31.7,0.00372371,120.147
"287",400,2,0.2286,31.7,0.00372371,123.417
"288",500,2,0.2286,31.7,0.00372371,126.677
"289",630,2,0.2286,31.7,0.00372371,129.057
"290",800,2,0.2286,31.7,0.00372371,130.307
"291",1000,2,0.2286,31.7,0.00372371,130.307
"292",1250,2,0.2286,31.7,0.00372371,128.677
"293",1600,2,0.2286,31.7,0.00372371,125.797
"294",2000,2,0.2286,31.7,0.00372371,123.037
"295",2500,2,0.2286,31.7,0.00372371,121.407
"296",3150,2,0.2286,31.7,0.00372371,121.527
"297",4000,2,0.2286,31.7,0.00372371,120.527
"298",5000,2,0.2286,31.7,0.00372371,118.267
"299",6300,2,0.2286,31.7,0.00372371,115.137
"300",500,4,0.2286,71.3,0.00400603,126.758
"301",630,4,0.2286,71.3,0.00400603,129.038
"302",800,4,0.2286,71.3,0.00400603,130.688
"303",1000,4,0.2286,71.3,0.00400603,131.708
"304",1250,4,0.2286,71.3,0.00400603,131.718
"305",1600,4,0.2286,71.3,0.00400603,129.468
"306",2000,4,0.2286,71.3,0.00400603,126.218
"307",2500,4,0.2286,71.3,0.00400603,124.338
"308",3150,4,0.2286,71.3,0.00400603,124.108
"309",4000,4,0.2286,71.3,0.00400603,121.728
"310",5000,4,0.2286,71.3,0.00400603,121.118
"311",6300,4,0.2286,71.3,0.00400603,118.618
"312",8000,4,0.2286,71.3,0.00400603,112.848
"313",10000,4,0.2286,71.3,0.00400603,113.108
"314",12500,4,0.2286,71.3,0.00400603,114.258
"315",16000,4,0.2286,71.3,0.00400603,112.768
"316",20000,4,0.2286,71.3,0.00400603,109.638
"317",400,4,0.2286,55.5,0.0042862,123.274
"318",500,4,0.2286,55.5,0.0042862,127.314
"319",630,4,0.2286,55.5,0.0042862,129.964
"320",800,4,0.2286,55.5,0.0042862,131.864
"321",1000,4,0.2286,55.5,0.0042862,132.134
"322",1250,4,0.2286,55.5,0.0042862,131.264
"323",1600,4,0.2286,55.5,0.0042862,128.264
"324",2000,4,0.2286,55.5,0.0042862,124.254
"325",2500,4,0.2286,55.5,0.0042862,122.384
"326",3150,4,0.2286,55.5,0.0042862,122.394
"327",4000,4,0.2286,55.5,0.0042862,120.654
"328",5000,4,0.2286,55.5,0.0042862,120.034
"329",6300,4,0.2286,55.5,0.0042862,117.154
"330",8000,4,0.2286,55.5,0.0042862,112.524
"331",315,4,0.2286,39.6,0.00473801,122.229
"332",400,4,0.2286,39.6,0.00473801,123.879
"333",500,4,0.2286,39.6,0.00473801,127.039
"334",630,4,0.2286,39.6,0.00473801,129.579
"335",800,4,0.2286,39.6,0.00473801,130.469
"336",1000,4,0.2286,39.6,0.00473801,129.969
"337",1250,4,0.2286,39.6,0.00473801,128.339
"338",1600,4,0.2286,39.6,0.00473801,125.319
"339",2000,4,0.2286,39.6,0.00473801,121.659
"340",2500,4,0.2286,39.6,0.00473801,119.649
"341",3150,4,0.2286,39.6,0.00473801,120.419
"342",4000,4,0.2286,39.6,0.00473801,119.159
"343",5000,4,0.2286,39.6,0.00473801,117.649
"344",6300,4,0.2286,39.6,0.00473801,114.249
"345",8000,4,0.2286,39.6,0.00473801,113.129
"346",250,4,0.2286,31.7,0.00509068,120.189
"347",315,4,0.2286,31.7,0.00509068,123.609
"348",400,4,0.2286,31.7,0.00509068,126.149
"349",500,4,0.2286,31.7,0.00509068,128.939
"350",630,4,0.2286,31.7,0.00509068,130.349
"351",800,4,0.2286,31.7,0.00509068,130.869
"352",1000,4,0.2286,31.7,0.00509068,129.869
"353",1250,4,0.2286,31.7,0.00509068,128.119
"354",1600,4,0.2286,31.7,0.00509068,125.229
"355",2000,4,0.2286,31.7,0.00509068,122.089
"356",2500,4,0.2286,31.7,0.00509068,120.209
"357",3150,4,0.2286,31.7,0.00509068,120.229
"358",4000,4,0.2286,31.7,0.00509068,118.859
"359",5000,4,0.2286,31.7,0.00509068,115.969
"360",6300,4,0.2286,31.7,0.00509068,112.699
"361",400,5.3,0.2286,71.3,0.0051942,127.7
"362",500,5.3,0.2286,71.3,0.0051942,129.88
"363",630,5.3,0.2286,71.3,0.0051942,131.8
"364",800,5.3,0.2286,71.3,0.0051942,133.48
"365",1000,5.3,0.2286,71.3,0.0051942,134
"366",1250,5.3,0.2286,71.3,0.0051942,133.38
"367",1600,5.3,0.2286,71.3,0.0051942,130.46
"368",2000,5.3,0.2286,71.3,0.0051942,125.89
"369",2500,5.3,0.2286,71.3,0.0051942,123.74
"370",3150,5.3,0.2286,71.3,0.0051942,123.12
"371",4000,5.3,0.2286,71.3,0.0051942,120.33
"372",5000,5.3,0.2286,71.3,0.0051942,118.05
"373",6300,5.3,0.2286,71.3,0.0051942,116.92
"374",8000,5.3,0.2286,71.3,0.0051942,114.9
"375",10000,5.3,0.2286,71.3,0.0051942,111.35
"376",250,5.3,0.2286,39.6,0.00614329,127.011
"377",315,5.3,0.2286,39.6,0.00614329,129.691
"378",400,5.3,0.2286,39.6,0.00614329,131.221
"379",500,5.3,0.2286,39.6,0.00614329,132.251
"380",630,5.3,0.2286,39.6,0.00614329,132.011
"381",800,5.3,0.2286,39.6,0.00614329,129.491
"382",1000,5.3,0.2286,39.6,0.00614329,125.581
"383",1250,5.3,0.2286,39.6,0.00614329,125.721
"384",1600,5.3,0.2286,39.6,0.00614329,123.081
"385",2000,5.3,0.2286,39.6,0.00614329,117.911
"386",2500,5.3,0.2286,39.6,0.00614329,116.151
"387",3150,5.3,0.2286,39.6,0.00614329,118.441
"388",4000,5.3,0.2286,39.6,0.00614329,115.801
"389",5000,5.3,0.2286,39.6,0.00614329,115.311
"390",6300,5.3,0.2286,39.6,0.00614329,112.541
"391",200,7.3,0.2286,71.3,0.0104404,138.758
"392",250,7.3,0.2286,71.3,0.0104404,139.918
"393",315,7.3,0.2286,71.3,0.0104404,139.808
"394",400,7.3,0.2286,71.3,0.0104404,139.438
"395",500,7.3,0.2286,71.3,0.0104404,136.798
"396",630,7.3,0.2286,71.3,0.0104404,133.768
"397",800,7.3,0.2286,71.3,0.0104404,130.748
"398",1000,7.3,0.2286,71.3,0.0104404,126.838
"399",1250,7.3,0.2286,71.3,0.0104404,127.358
"400",1600,7.3,0.2286,71.3,0.0104404,125.728
"401",2000,7.3,0.2286,71.3,0.0104404,122.708
"402",2500,7.3,0.2286,71.3,0.0104404,122.088
"403",3150,7.3,0.2286,71.3,0.0104404,120.458
"404",4000,7.3,0.2286,71.3,0.0104404,119.208
"405",5000,7.3,0.2286,71.3,0.0104404,115.298
"406",6300,7.3,0.2286,71.3,0.0104404,115.818
"407",200,7.3,0.2286,55.5,0.0111706,135.234
"408",250,7.3,0.2286,55.5,0.0111706,136.384
"409",315,7.3,0.2286,55.5,0.0111706,136.284
"410",400,7.3,0.2286,55.5,0.0111706,135.924
"411",500,7.3,0.2286,55.5,0.0111706,133.174
"412",630,7.3,0.2286,55.5,0.0111706,130.934
"413",800,7.3,0.2286,55.5,0.0111706,128.444
"414",1000,7.3,0.2286,55.5,0.0111706,125.194
"415",1250,7.3,0.2286,55.5,0.0111706,125.724
"416",1600,7.3,0.2286,55.5,0.0111706,123.354
"417",2000,7.3,0.2286,55.5,0.0111706,120.354
"418",2500,7.3,0.2286,55.5,0.0111706,118.994
"419",3150,7.3,0.2286,55.5,0.0111706,117.134
"420",4000,7.3,0.2286,55.5,0.0111706,117.284
"421",5000,7.3,0.2286,55.5,0.0111706,113.144
"422",6300,7.3,0.2286,55.5,0.0111706,111.534
"423",200,7.3,0.2286,39.6,0.0123481,130.989
"424",250,7.3,0.2286,39.6,0.0123481,131.889
"425",315,7.3,0.2286,39.6,0.0123481,132.149
"426",400,7.3,0.2286,39.6,0.0123481,132.039
"427",500,7.3,0.2286,39.6,0.0123481,130.299
"428",630,7.3,0.2286,39.6,0.0123481,128.929
"429",800,7.3,0.2286,39.6,0.0123481,126.299
"430",1000,7.3,0.2286,39.6,0.0123481,122.539
"431",1250,7.3,0.2286,39.6,0.0123481,123.189
"432",1600,7.3,0.2286,39.6,0.0123481,121.059
"433",2000,7.3,0.2286,39.6,0.0123481,117.809
"434",2500,7.3,0.2286,39.6,0.0123481,116.559
"435",3150,7.3,0.2286,39.6,0.0123481,114.309
"436",4000,7.3,0.2286,39.6,0.0123481,114.079
"437",5000,7.3,0.2286,39.6,0.0123481,111.959
"438",6300,7.3,0.2286,39.6,0.0123481,110.839
"439",200,7.3,0.2286,31.7,0.0132672,128.679
"440",250,7.3,0.2286,31.7,0.0132672,130.089
"441",315,7.3,0.2286,31.7,0.0132672,130.239
"442",400,7.3,0.2286,31.7,0.0132672,130.269
"443",500,7.3,0.2286,31.7,0.0132672,128.169
"444",630,7.3,0.2286,31.7,0.0132672,126.189
"445",800,7.3,0.2286,31.7,0.0132672,123.209
"446",1000,7.3,0.2286,31.7,0.0132672,119.099
"447",1250,7.3,0.2286,31.7,0.0132672,120.509
"448",1600,7.3,0.2286,31.7,0.0132672,119.039
"449",2000,7.3,0.2286,31.7,0.0132672,115.309
"450",2500,7.3,0.2286,31.7,0.0132672,114.709
"451",3150,7.3,0.2286,31.7,0.0132672,113.229
"452",4000,7.3,0.2286,31.7,0.0132672,112.639
"453",5000,7.3,0.2286,31.7,0.0132672,111.029
"454",6300,7.3,0.2286,31.7,0.0132672,110.689
"455",800,0,0.1524,71.3,0.0015988,125.817
"456",1000,0,0.1524,71.3,0.0015988,127.307
"457",1250,0,0.1524,71.3,0.0015988,128.927
"458",1600,0,0.1524,71.3,0.0015988,129.667
"459",2000,0,0.1524,71.3,0.0015988,128.647
"460",2500,0,0.1524,71.3,0.0015988,128.127
"461",3150,0,0.1524,71.3,0.0015988,129.377
"462",4000,0,0.1524,71.3,0.0015988,128.857
"463",5000,0,0.1524,71.3,0.0015988,126.457
"464",6300,0,0.1524,71.3,0.0015988,125.427
"465",8000,0,0.1524,71.3,0.0015988,122.527
"466",10000,0,0.1524,71.3,0.0015988,120.247
"467",12500,0,0.1524,71.3,0.0015988,117.087
"468",16000,0,0.1524,71.3,0.0015988,113.297
"469",500,0,0.1524,55.5,0.00172668,120.573
"470",630,0,0.1524,55.5,0.00172668,123.583
"471",800,0,0.1524,55.5,0.00172668,126.713
"472",1000,0,0.1524,55.5,0.00172668,128.583
"473",1250,0,0.1524,55.5,0.00172668,129.953
"474",1600,0,0.1524,55.5,0.00172668,130.183
"475",2000,0,0.1524,55.5,0.00172668,129.673
"476",2500,0,0.1524,55.5,0.00172668,127.763
"477",3150,0,0.1524,55.5,0.00172668,127.753
"478",4000,0,0.1524,55.5,0.00172668,127.233
"479",5000,0,0.1524,55.5,0.00172668,125.203
"480",6300,0,0.1524,55.5,0.00172668,123.303
"481",8000,0,0.1524,55.5,0.00172668,121.903
"482",10000,0,0.1524,55.5,0.00172668,119.253
"483",12500,0,0.1524,55.5,0.00172668,117.093
"484",16000,0,0.1524,55.5,0.00172668,112.803
"485",500,0,0.1524,39.6,0.00193287,119.513
"486",630,0,0.1524,39.6,0.00193287,124.403
"487",800,0,0.1524,39.6,0.00193287,127.903
"488",1000,0,0.1524,39.6,0.00193287,130.033
"489",1250,0,0.1524,39.6,0.00193287,131.023
"490",1600,0,0.1524,39.6,0.00193287,131.013
"491",2000,0,0.1524,39.6,0.00193287,129.633
"492",2500,0,0.1524,39.6,0.00193287,126.863
"493",3150,0,0.1524,39.6,0.00193287,125.603
"494",4000,0,0.1524,39.6,0.00193287,125.343
"495",5000,0,0.1524,39.6,0.00193287,123.453
"496",6300,0,0.1524,39.6,0.00193287,121.313
"497",8000,0,0.1524,39.6,0.00193287,120.553
"498",10000,0,0.1524,39.6,0.00193287,115.413
"499",500,0,0.1524,31.7,0.00209405,121.617
"500",630,0,0.1524,31.7,0.00209405,125.997
"501",800,0,0.1524,31.7,0.00209405,129.117
"502",1000,0,0.1524,31.7,0.00209405,130.987
"503",1250,0,0.1524,31.7,0.00209405,131.467
"504",1600,0,0.1524,31.7,0.00209405,130.817
"505",2000,0,0.1524,31.7,0.00209405,128.907
"506",2500,0,0.1524,31.7,0.00209405,125.867
"507",3150,0,0.1524,31.7,0.00209405,124.207
"508",4000,0,0.1524,31.7,0.00209405,123.807
"509",5000,0,0.1524,31.7,0.00209405,122.397
"510",6300,0,0.1524,31.7,0.00209405,119.737
"511",8000,0,0.1524,31.7,0.00209405,117.957
"512",630,2.7,0.1524,71.3,0.00243851,127.404
"513",800,2.7,0.1524,71.3,0.00243851,127.394
